handel@argusmedia.com,XYZ
handel2@argusmedia.com,XYZ
handel3@argusmedia.com,XYZ
handel4@argusmedia.com,XYZ
handel5@argusmedia.com,XYZ
handel6@argusmedia.com,XYZ
handel7@argusmedia.com,XYZ
handel8@argusmedia.com,XYZ
handel9@argusmedia.com,XYZ
handel10@argusmedia.com,XYZ
handel11@argusmedia.com,XYZ
handel12@argusmedia.com,XYZ
handel13@argusmedia.com,XYZ
handel14@argusmedia.com,XYZ
handel15@argusmedia.com,XYZ
handel16@argusmedia.com,XYZ
handel17@argusmedia.com,XYZ
handel18@argusmedia.com,XYZ
handel19@argusmedia.com,XYZ
handel20@argusmedia.com,XYZ
handel21@argusmedia.com,XYZ
handel22@argusmedia.com,XYZ
